Rating,Entity Name,State,County,City,Sector,Entity Type,Region
50,"Camas County Clerk, Camas, ID",ID,Camas County,Fairfield,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 10
70,"Calvin Township Election Commission, Cass, MI",MI,Cass County,Cassopolis,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
70,"Calvin Township Clerk, Cass, MI",MI,Cass County,Cassopolis,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
54,Calvert Internal Medicine Group,MD,Calvert County,Prince Frederick,Healthcare and Public Health,Private CI Entity,Region 3
49,Calvert County Government,MD,Calvert County,Prince Frederick,Government Facilities,Local Tribal Territory,Region 3
49,"Calvert County Board of Elections, Calvert, MD",MD,Calvert County,Prince Frederick,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 3
63,"Calumet Town Clerk, Fond du Lac, WI",WI,Fond du Lac County,Malone,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
48,"Calumet County Clerk, Calumet, WI",WI,Calumet County,Chilton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
30,"Calumet Charter Township Election Commission, Houghton, MI",MI,Houghton County,Calumet Twp,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
30,"Calumet Charter Township Clerk, Houghton, MI",MI,Houghton County,Calumet Twp,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
48,Calpine Corporation,TX,Harris County,Houston,Energy,Private CI Entity,Region 6
53,Calloway County Fiscal Court,KY,Calloway County,Murray,Emergency Services,Local Tribal Territory,Region 4
71,Callaway Public Schools,NE,Custer County,Callaway,Government Facilities,Local Tribal Territory,Region 7
61,"Callaway County Clerk, Callaway, MO",MO,Callaway County,Fulton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 7
45,"Callahan County Tax Assessor-Collector, Callahan, TX",TX,Callahan County,Baird,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
45,"Callahan County County Clerk, Callahan, TX",TX,Callahan County,Baird,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
