Rating,Entity Name,State,County,City,Sector,Entity Type,Region
13,James Madison Memorial Fellowship Foundation (JMMFF) - CISA,VA,Alexandria city,Alexandria,Government Facilities,FCEB,Region 3
79,International Trade Commission (USITC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
70,International Development Finance Corporation (DFC) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
64,International Boundary and Water Commission (IBWC) - CISA,TX,El Paso County,El Paso,"Dams, Government Facilities, Water and WasteWater Systems",FCEB,Region 6
80,Inter-American Foundation (IAF) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
70,Harry S. Truman Scholarship Foundation (HTSF) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
60,HUD - Government National Mortgage Association (GNMA) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
93,HUD - Federal Housing Administration (FHA) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
63,HUD - Department of Housing and Urban Development (HUD) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
61,HHS - Substance Abuse and Mental Health Services Administration (SAMHSA) - CISA,MD,Montgomery County,Rockville,"Government Facilities, Healthcare and Public Health",FCEB,Region 3
56,HHS - National Institutes of Health (NIH) - CISA,MD,Montgomery County,Bethesda,"Government Facilities, Healthcare and Public Health",FCEB,Region 3
68,HHS - Indian Health Service (IHS) - CISA,MD,Montgomery County,Rockville,"Government Facilities, Healthcare and Public Health",FCEB,Region 3
50,HHS - Health and Human Services Department (HHS) - CISA,DC,District of Columbia,Washington,"Emergency Services, Government Facilities, Healthcare and Public Health",FCEB,Region 3
57,HHS - Health Resources and Services Administration (HRSA) - CISA,MD,Montgomery County,Rockville,"Government Facilities, Healthcare and Public Health",FCEB,Region 3
61,HHS - Food and Drug Administration (FDA) - CISA,MD,Montgomery County,Silver Spring,"Government Facilities, Healthcare and Public Health",FCEB,Region 3
64,HHS - Centers for Medicare & Medicaid Services (CMS) - CISA,MD,Baltimore County,Baltimore,"Government Facilities, Healthcare and Public Health",FCEB,Region 3
56,HHS - Centers for Disease Control and Prevention (CDC) - CISA,GA,DeKalb County,Atlanta,"Government Facilities, Healthcare and Public Health",FCEB,Region 4
73,HHS - Agency for Toxic Substances and Disease Registry (ATSDR) - CISA,GA,DeKalb County,Atlanta,"Government Facilities, Healthcare and Public Health",FCEB,Region 4
28,HHS - Agency for Healthcare Research and Quality (AHRQ) - CISA,MD,Montgomery County,Rockville,"Government Facilities, Healthcare and Public Health",FCEB,Region 3
65,HHS - Administration for Community Living (ACL) - CISA,DC,District of Columbia,Washington,"Government Facilities, Healthcare and Public Health",FCEB,Region 3
51,HHS - Administration for Children and Families (ACF) - CISA,DC,District of Columbia,Washington,"Government Facilities, Healthcare and Public Health",FCEB,Region 3
30,Gulf Coast Ecosystem Restoration Council (GCERC) - CISA,DC,District of Columbia,Washington,"Government Facilities, Water and WasteWater Systems",FCEB,Region 3
80,GSA - Regulatory Information Service Center (RISC) - CISA,DC,District of Columbia,Washington,"Government Facilities, Information Technology",FCEB,Region 3
